0 x, -nan
0 y, -nan
0 z, -nan
1 x, -nan
1 y, -nan
1 z, -nan
2 x, -nan
2 y, -nan
2 z, -nan
3 x, -nan
3 y, -nan
3 z, -nan
4 x, -nan
4 y, -nan
4 z, -nan
5 x, -nan
5 y, -nan
5 z, -nan
98 y, 0.000000
98 z, -0.000000
99 x, 1.000000
99 y, 0.000000
99 z, -0.000000
100 x, 1.000000
100 y, 0.000000
100 z, 0.000000
101 x, 1.000000
101 y, -0.000000
101 z, 0.000000
102 x, 1.000000
102 y, -0.000000
102 z, 0.000000
103 x, 1.000000
103 y, -0.000000
103 z, 0.000000
104 x, 1.000000
104 y, 0.000000
104 z, 0.000000
105 x, 1.000000
105 y, -0.000000
105 z, 0.000000
106 x, 1.000000
106 y, -0.000000
106 z, 0.000000
107 x, 1.000000
107 y, 0.000000
107 z, 0.000000
108 x, 1.000000
108 y, -0.000000
108 z, -0.000000
109 x, 1.000000
109 y, -0.000000
109 z, 0.000000
110 x, 1.000000
110 y, -0.000000
110 z, 0.000000
111 x, 1.000000
111 y, -0.000000
111 z, 0.000000
112 x, 1.000000
112 y, -0.000000
112 z, 0.000000
113 x, 1.000000
113 y, 0.000000
113 z, -0.000000
114 x, 0.895488
114 y, 0.431749
114 z, -0.108142
115 x, -0.895761
115 y, -0.411849
115 z, 0.167312
116 x, -1.000000
116 y, -0.000000
116 z, 0.000000
117 x, -1.000000
117 y, -0.000000
117 z, 0.000000
118 x, -1.000000
118 y, -0.000000
118 z, 0.000000
119 x, -1.000000
119 y, -0.000000
119 z, 0.000000
120 x, -1.000000
120 y, 0.000000
120 z, 0.000000
121 x, -1.000000
121 y, -0.000000
121 z, -0.000000
122 x, -1.000000
122 y, 0.000000
122 z, -0.000000
123 x, -1.000000
123 y, 0.000000
123 z, -0.000000
124 x, -1.000000
124 y, -0.000000
124 z, -0.000000
125 x, -1.000000
125 y, 0.000000
125 z, 0.000000
126 x, -1.000000
126 y, 0.000000
126 z, 0.000000
127 x, -1.000000
127 y, 0.000000
127 z, -0.000000
128 x, -1.000000
128 y, -0.000000
128 z, 0.000000
129 x, -1.000000
129 y, -0.000000
129 z, 0.000000
130 x, -1.000000
130 y, -0.000000
130 z, -0.000000
131 x, -1.000000
131 y, -0.000000
131 z, 0.000000
132 x, -1.000000
132 y, 0.000000
132 z, 0.000000
133 x, -1.000000
133 y, 0.000000
133 z, 0.000000
134 x, -1.000000
134 y, -0.000000
134 z, 0.000000
135 x, -1.000000
135 y, 0.000000
135 z, 0.000000
136 x, -1.000000
136 y, -0.000000
136 z, -0.000000
137 x, -1.000000
137 y, -0.000000
137 z, -0.000000
138 x, -1.000000
138 y, -0.000000
138 z, -0.000000
139 x, -1.000000
139 y, -0.000000
139 z, -0.000000
140 x, -1.000000
140 y, 0.000000
140 z, 0.000000
141 x, -1.000000
141 y, -0.000000
141 z, -0.000000
142 x, -0.895761
142 y, 0.411849
142 z, 0.167312
143 x, 0.895488
143 y, -0.431749
143 z, -0.108142
144 x, 1.000000
144 y, -0.000000
144 z, -0.000000
145 x, 1.000000
145 y, -0.000000
145 z, -0.000000
146 x, 1.000000
146 y, -0.000000
146 z, -0.000000
147 x, 1.000000
147 y, 0.000000
147 z, 0.000000
148 x, 1.000000
148 y, 0.000000
148 z, 0.000000
149 x, 1.000000
149 y, -0.000000
149 z, 0.000000
150 x, 1.000000
150 y, -0.000000
150 z, 0.000000
151 x, 1.000000
151 y, 0.000000
151 z, 0.000000
152 x, 1.000000
152 y, 0.000000
152 z, 0.000000
153 x, 1.000000
153 y, 0.000000
153 z, 0.000000
154 x, 1.000000
154 y, 0.000000
154 z, 0.000000
155 x, 1.000000
155 y, 0.000000
155 z, 0.000000
156 x, 1.000000
156 y, -0.000000
156 z, 0.000000
157 x, 1.000000
157 y, -0.000000
157 z, -0.000000
158 x, 1.000000
158 y, -0.000000
158 z, 0.000000
159 x, 1.000000
159 y, 0.000000
159 z, 0.000000
160 x, 1.000000
160 y, -0.000000
160 z, -0.000000
161 x, 1.000000
161 y, -0.000000
161 z, -0.000000
162 x, 1.000000
162 y, -0.000000
162 z, -0.000000
163 x, 1.000000
163 y, 0.000000
163 z, -0.000000
164 x, 1.000000
164 y, 0.000000
164 z, -0.000000
165 x, 1.000000
165 y, 0.000000
165 z, 0.000000
166 x, 1.000000
166 y, -0.000000
166 z, -0.000000
167 x, 1.000000
167 y, -0.000000
167 z, -0.000000
168 x, 1.000000
168 y, 0.000000
168 z, -0.000000
169 x, 1.000000
169 y, 0.000000
169 z, -0.000000
170 x, 1.000000
170 y, 0.000000
170 z, -0.000000
171 x, 1.000000
171 y, -0.000000
171 z, 0.000000
172 x, 1.000000
172 y, -0.000000
172 z, 0.000000
173 x, 0.895116
173 y, -0.400480
173 z, 0.195915
174 x, -0.896396
174 y, 0.421461
174 z, -0.137279
175 x, -1.000000
175 y, 0.000000
175 z, 0.000000
176 x, -1.000000
176 y, -0.000000
176 z, 0.000000
177 x, -1.000000
177 y, -0.000000
177 z, 0.000000
178 x, -1.000000
178 y, 0.000000
178 z, -0.000000
179 x, -1.000000
179 y, 0.000000
179 z, -0.000000
180 x, -1.000000
180 y, -0.000000
180 z, 0.000000
181 x, -1.000000
181 y, -0.000000
181 z, -0.000000
182 x, -1.000000
182 y, -0.000000
182 z, -0.000000
183 x, -1.000000
183 y, 0.000000
183 z, -0.000000
184 x, -1.000000
184 y, -0.000000
