81 y, -0.006540
81 z, 0.999922
82 x, -0.010360
82 y, -0.011511
82 z, 0.999880
83 x, -0.008961
83 y, -0.012443
83 z, 0.999882
84 x, -0.008448
84 y, -0.016195
84 z, 0.999833
85 x, -0.005092
85 y, -0.018209
85 z, 0.999821
86 x, -0.007342
86 y, -0.018692
86 z, 0.999798
87 x, -0.003123
87 y, -0.021084
87 z, 0.999773
88 x, -0.003156
88 y, -0.021096
88 z, 0.999772
89 x, -0.000652
89 y, -0.022399
89 z, 0.999749
90 x, 0.001053
90 y, -0.021579
90 z, 0.999767
91 x, 0.001927
91 y, -0.021955
91 z, 0.999757
92 x, 0.004525
92 y, -0.020533
92 z, 0.999779
93 x, 0.004928
93 y, -0.019389
93 z, 0.999800
94 x, 0.007236
94 y, -0.018046
94 z, 0.999811
95 x, 0.007824
95 y, -0.015049
95 z, 0.999856
96 x, 0.009502
96 y, -0.013998
96 z, 0.999857
97 x, 0.009897
97 y, -0.009593
97 z, 0.999905
98 x, 0.010996
98 y, -0.008797
98 z, 0.999901
99 x, 0.011156
99 y, -0.003327
99 z, 0.999932
100 x, 0.011546
100 y, -0.002971
100 z, 0.999929
101 x, 0.015046
101 y, 0.003084
101 z, 0.999882
102 x, 0.014738
102 y, 0.003376
102 z, 0.999886
103 x, 0.014599
103 y, 0.009179
103 z, 0.999851
104 x, 0.013708
104 y, 0.009875
104 z, 0.999857
105 x, 0.013391
105 y, 0.014887
105 z, 0.999799
106 x, 0.012007
106 y, 0.015824
106 z, 0.999803
107 x, 0.011491
107 y, 0.019869
107 z, 0.999737
108 x, 0.009666
108 y, 0.020992
108 z, 0.999733
109 x, 0.009041
109 y, 0.023823
109 z, 0.999675
110 x, 0.005840
110 y, 0.025685
110 z, 0.999653
111 x, 0.007108
111 y, 0.026040
111 z, 0.999636
112 x, 0.003422
112 y, 0.028076
112 z, 0.999600
113 x, 0.003065
113 y, 0.027937
113 z, 0.999605
114 x, 0.000700
114 y, 0.029138
114 z, 0.999575
115 x, -0.001023
115 y, 0.028319
115 z, 0.999598
116 x, -0.002085
116 y, 0.028781
116 z, 0.999584
117 x, -0.005096
117 y, 0.027176
117 z, 0.999618
118 x, -0.004683
118 y, 0.027037
118 z, 0.999623
119 x, -0.007672
119 y, 0.025339
119 z, 0.999649
120 x, -0.008263
120 y, 0.023220
120 z, 0.999696
121 x, -0.010323
121 y, 0.021991
121 z, 0.999705
122 x, -0.010915
122 y, 0.018519
122 z, 0.999769
123 x, -0.012520
123 y, 0.017489
123 z, 0.999769
124 x, -0.012939
124 y, 0.012933
124 z, 0.999833
125 x, -0.014088
125 y, 0.012103
125 z, 0.999828
126 x, -0.014310
126 y, 0.006678
126 z, 0.999875
127 x, -0.014919
127 y, 0.006158
127 z, 0.999870
128 x, -0.014986
